question,worker,answer
59859,0,1
59859,1,1
59859,2,1
59859,3,1
59859,4,1
59859,5,1
59859,6,0
59859,7,1
59859,8,0
59859,9,1
59859,10,0
59859,11,1
59859,12,0
59859,13,0
59859,14,1
59859,15,0
59859,16,0
59859,17,0
59859,18,0
59859,19,1
59859,20,1
59859,21,1
59859,22,1
59859,23,0
59859,24,1
59859,25,1
59859,26,1
59859,27,1
59859,28,0
59859,29,1
59859,30,1
59859,31,1
59859,32,1
59859,33,1
59859,34,1
239576,35,0
239576,36,0
239576,37,0
239576,38,0
239579,35,0
239579,36,0
239579,37,0
239579,38,0
239579,39,1
239579,40,1
239579,41,0
239579,42,0
239579,43,1
239579,44,1
239607,45,1
239607,46,1
239607,47,1
239607,48,1
239607,49,1
239607,50,1
239607,51,0
239607,52,1
239607,53,1
239607,54,1
239611,55,0
239611,56,0
239611,57,0
239611,58,0
239617,59,0
239617,55,0
239617,56,0
239617,58,0
239626,55,0
239626,56,0
239626,57,0
239626,58,0
239636,60,0
239636,61,0
239636,62,0
239636,63,0
239655,45,0
239655,46,0
239655,47,0
239655,48,0
239655,49,0
239655,50,0
239669,62,0
239669,64,0
239669,0,0
239669,65,0
239683,55,0
239683,56,0
239683,57,0
239683,58,0
239722,66,0
239722,67,0
239722,68,0
239722,69,0
239724,70,0
239724,43,0
239724,71,0
239724,57,0
239726,58,0
239726,72,0
239726,73,0
239726,74,0
239726,75,0
239733,59,0
239733,55,0
239733,56,0
239733,58,0
239747,70,0
239747,43,0
239747,71,0
239747,57,0
239781,76,0
239781,77,0
239781,78,0
239781,79,0
239787,80,0
239787,81,0
239787,82,1
239787,83,0
239787,84,0
239793,85,0
239793,86,0
239793,50,0
239793,87,0
239796,80,0
239796,82,0
239796,12,0
239796,0,0
239800,88,0
239800,89,0
239800,90,0
239800,91,0
239800,92,0
239800,93,0
239812,94,0
239812,58,0
239812,63,0
239812,95,0
239813,60,0
239813,61,0
239813,63,0
239813,96,0
239868,97,0
239868,98,0
239868,99,0
239868,95,1
239868,76,0
239868,100,0
239883,22,0
239883,101,1
239883,21,0
239883,102,0
239883,103,0
239883,104,0
239917,105,0
239917,43,0
239917,106,0
239917,107,0
239958,90,0
239958,108,0
239958,109,0
239958,63,0
239958,110,0
239980,105,0
239980,43,0
239980,0,0
239980,107,0
239984,111,0
239984,59,0
239984,112,1
239984,113,0
239984,35,0
240043,114,0
240043,115,0
240043,116,0
240043,117,0
240047,88,0
240047,89,0
240047,90,0
240047,91,0
240047,35,0
240295,118,0
240295,4,0
240295,119,0
240295,120,0
240317,121,0
240317,122,0
240317,105,0
240317,66,0
240338,123,0
240338,124,0
240338,50,0
240338,125,0
240345,121,0
240345,122,0
240345,105,0
240345,66,0
240377,126,0
240377,127,0
240377,50,0
240377,66,0
240390,126,0
240390,127,0
240390,50,0
240390,66,0
240392,121,0
240392,122,0
240392,105,0
240392,66,0
240409,123,0
240409,124,0
240409,128,0
240409,125,0
240415,123,0
240415,124,0
240415,128,0
240415,125,0
240428,123,0
240428,129,0
240428,128,0
240428,125,0
240430,126,0
240430,127,0
240430,124,0
240430,50,0
240438,123,0
240438,127,0
240438,124,0
240438,50,0
240449,123,0
240449,124,0
240449,128,0
240449,125,0
240454,126,0
240454,127,0
240454,105,0
240454,66,0
240468,122,0
240468,126,0
240468,105,0
240468,66,0
240485,123,0
240485,127,0
240485,124,0
240485,50,0
240489,122,0
240489,126,0
240489,105,0
240489,66,0
240490,126,0
240490,127,0
240490,50,0
240490,66,0
240494,121,0
240494,122,0
240494,105,0
240494,130,0
240519,126,0
240519,127,0
240519,124,0
240519,50,0
240521,126,0
240521,127,0
240521,124,0
240521,50,0
240523,59,0
240523,131,0
240523,132,0
240523,133,0
240524,88,1
240524,89,1
240524,90,0
240524,91,0
240524,92,0
240524,35,0
240524,134,0
240524,135,0
240524,93,1
240524,136,0
240524,137,0
240528,59,0
240528,138,0
240528,112,0
240528,113,0
240586,97,1
240586,98,0
240586,99,0
240586,95,0
240586,76,1
240586,100,0
240586,139,1
240586,140,1
240586,141,1
240586,142,0
240615,111,0
240615,98,1
240615,94,1
240615,143,1
240615,80,1
240615,43,1
240616,114,0
240616,144,0
240616,116,0
240616,92,1
240616,145,0
240616,146,0
240616,147,0
